tax_id,scientific_name,fes,rag1,mt,vwf,ghr
9611,Canis,XM_072800424.1,XM_072791989.1,OR260566.2,NM_001002932.1,NM_001003123.1
9612,Canis lupus,XM_072800424.1,XM_072791989.1,OR260566.2,NM_001002932.1,NM_001003123.1
9614,Canis latrans,,DQ240691.1,NC_008093.1,DQ240792.1,DQ240657.1
9615,Canis lupus familiaris,OR287504.1,NC_051822.1,OR260566.2,NM_001002932.1,NM_001003123.1
9620,Cerdocyon thous,,DQ240695.1,,DQ240796.1,DQ240661.1
9621,Lycaon,,DQ240698.1,NC_028427.1,DQ240799.1,DQ240664.1
9622,Lycaon pictus,,DQ240698.1,NC_028427.1,DQ240799.1,DQ240664.1
9623,Otocyon,,DQ240700.1,NC_036369.1,DQ240801.1,DQ240666.1
9624,Otocyon megalotis,,DQ240700.1,NC_036369.1,DQ240801.1,DQ240666.1
9625,Vulpes,XM_072737325.1,XM_072759150.1,PV090785.1,XM_072742949.1,XM_072756986.1
9626,Vulpes chama,DQ239461.1,DQ240711.1,ON756054.3,DQ240812.1,DQ240677.1
9627,Vulpes vulpes,XM_072737325.1,XM_072759150.1,NC_008434.1,XM_072742949.1,XM_072756986.1
9629,Vulpes corsac,,DQ240712.1,NC_023958.1,DQ240813.1,DQ240678.1
9630,Vulpes macrotis,,DQ240713.1,PV090784.1,DQ240814.1,DQ240679.1
9631,Vulpes velox,,,PV090785.1,,DQ205838.1
32534,Canis simensis,DQ239455.1,DQ240694.1,NC_062616.1,DQ240795.1,DQ240660.1
34879,Nyctereutes,XM_055326798.1,XM_055300734.1,NC_013700.1,XM_055314502.1,XM_055325045.1
34880,Nyctereutes procyonoides,XM_055326798.1,XM_055300734.1,NC_013700.1,XM_055314502.1,XM_055325045.1
45781,Canis rufus,,,NC_062617.1,,
55039,Urocyon,DQ239459.1,DQ240709.1,NC_026723.1,DQ240810.1,DQ240675.1
55040,Urocyon cinereoargenteus,GU931098.1,DQ240708.1,NC_026723.1,DQ240809.1,DQ240674.1
68721,Atelocynus,,DQ240688.1,,DQ240789.1,DQ240654.1
