"part","start","stop"
"ghr_trimmed.fasta","1","1374"
"irbp_trimmed.fasta","1375","5154"
"mt_trimmed.fasta","5155","21848"
"rag1_trimmed.fasta","21849","22548"
"vwf_trimmed.fasta","22549","23249"
