tax_id,scientific_name,accession,seq_name,seq_len
55040,Urocyon cinereoargenteus,DQ240809.1,"Urocyon cinereoargenteus isolate 4 von Willebrand factor (VWF) gene, exon 28 and partial cds",732
1002255,Vulpes environmental sample,,,
2879911,Vulpes macrotis arsipus,,,
383736,Vulpes lagopus beringensis,,,
68739,Lycalopex sechurae,DQ240806.1,"Pseudalopex sechurae isolate 1910 von Willebrand factor (VWF) gene, exon 28 and partial cds",732
68732,Vulpes zerda,DQ240817.1,"Vulpes zerda isolate 1 von Willebrand factor (VWF) gene, exon 28 and partial cds",732
1621117,Urocyon littoralis catalinae,,,
9624,Otocyon megalotis,DQ240801.1,"Otocyon megalotis isolate FF48 von Willebrand factor (VWF) gene, exon 28 and partial cds",732
1303779,Lycalopex sp. Fuegian dog,,,
2793303,Otocyon megalotis virgatus,,,
68737,Lycalopex griseus,DQ240804.1,"Pseudalopex griseus isolate 2474 von Willebrand factor (VWF) gene, exon 28 and partial cds",721
354189,Vulpes rueppellii,DQ240815.1,"Vulpes rueppellii isolate 2 von Willebrand factor (VWF) gene, exon 28 and partial cds",732
34880,Nyctereutes procyonoides,XM_055314502.1,"PREDICTED: Nyctereutes procyonoides von Willebrand factor D and EGF domains (VWDE), mRNA",4957
68734,Lycalopex vetulus,DQ240807.1,"Pseudalopex vetulus isolate RJ4 von Willebrand factor (VWF) gene, exon 28 and partial cds",732
494514,Vulpes lagopus,XM_041764828.1,"PREDICTED: Vulpes lagopus von Willebrand factor A domain containing 5B1 (VWA5B1), mRNA",3859
9627,Vulpes vulpes,XM_072742949.1,"PREDICTED: Vulpes vulpes von Willebrand factor A domain containing 3B (VWA3B), mRNA",4329
9629,Vulpes corsac,DQ240813.1,"Vulpes corsac isolate 488 von Willebrand factor (VWF) gene, exon 28 and partial cds",732
2658581,Vulpes macrotis mutica,,,
354191,Lycalopex fulvipes,DQ240803.1,"Pseudalopex fulvipes isolate F1895 von Willebrand factor (VWF) gene, exon 28 and partial cds",732
1398410,Vulpes vulpes montana,,,
2494276,Vulpes bengalensis,,,
2726995,Lycalopex sp. CAN003,,,
476260,Vulpes vulpes japonica,,,
561074,Vulpes ferrilata,,,
1224817,Vulpes pallida,,,
9631,Vulpes velox,,,
2639686,unclassified Lycalopex,,,
945042,Nyctereutes procyonoides albus,,,
1621116,Urocyon littoralis dickeyi,,,
192959,Nyctereutes procyonoides procyonoides,,,
1621118,Urocyon littoralis clementae,,,
1504800,Vulpes vulpes fulvus,,,
1353242,Vulpes vulpes schrenckii,,,
132609,Nyctereutes procyonoides koreensis,,,
1621113,Urocyon littoralis littoralis,,,
1621114,Urocyon littoralis santarosae,,,
425201,Lycalopex gymnocercus,DQ240805.1,"Pseudalopex gymnocercus isolate 902 von Willebrand factor (VWF) gene, exon 28 and partial cds",732
30540,Vulpes sp.,,,
71547,Vulpes macrotis zinseri,,,
244585,Urocyon littoralis,DQ240810.1,"Urocyon littoralis isolate SNI22 von Willebrand factor (VWF) gene, exon 28 and partial cds",732
2726996,Lycalopex sp. CAN005,,,
3370412,Nyctereutes viverrinus,,,
9626,Vulpes chama,DQ240812.1,"Vulpes chama isolate F3 von Willebrand factor (VWF) gene, exon 28 and partial cds",732
354190,Vulpes cana,DQ240811.1,"Vulpes cana isolate 7 von Willebrand factor (VWF) gene, exon 28 and partial cds",732
68736,Lycalopex culpaeus,DQ240802.1,"Pseudalopex culpaeus isolate 900 von Willebrand factor (VWF) gene, exon 28 and partial cds",732
2793302,Otocyon megalotis megalotis,,,
1621115,Urocyon littoralis santacruzae,,,
9630,Vulpes macrotis,DQ240814.1,"Vulpes macrotis isolate Corizo von Willebrand factor (VWF) gene, exon 28 and partial cds",732
1002254,environmental samples,,,
2627721,unclassified Vulpes,,,
