tax_id,scientific_name,accession,seq_name,seq_len
55040,Urocyon cinereoargenteus,DQ240708.1,"Urocyon cinereoargenteus isolate 4 recombination activating protein 1 (RAG1) gene, exon 1 and partial cds",741
1002255,Vulpes environmental sample,,,
2879911,Vulpes macrotis arsipus,,,
383736,Vulpes lagopus beringensis,,,
68739,Lycalopex sechurae,DQ240705.1,"Pseudalopex sechurae isolate 1910 recombination activating protein 1 (RAG1) gene, exon 1 and partial cds",741
68732,Vulpes zerda,DQ240716.1,"Vulpes zerda isolate 1 recombination activating protein 1 (RAG1) gene, exon 1 and partial cds",741
1621117,Urocyon littoralis catalinae,,,
9624,Otocyon megalotis,DQ240700.1,"Otocyon megalotis isolate FF48 recombination activating protein 1 (RAG1) gene, exon 1 and partial cds",741
1303779,Lycalopex sp. Fuegian dog,,,
2793303,Otocyon megalotis virgatus,,,
68737,Lycalopex griseus,DQ240703.1,"Pseudalopex griseus isolate 2474 recombination activating protein 1 (RAG1) gene, exon 1 and partial cds",741
354189,Vulpes rueppellii,DQ240714.1,"Vulpes rueppellii isolate 2 recombination activating protein 1 (RAG1) gene, exon 1 and partial cds",667
34880,Nyctereutes procyonoides,XM_055300734.1,"PREDICTED: Nyctereutes procyonoides recombination activating 1 (RAG1), mRNA",3132
68734,Lycalopex vetulus,DQ240706.1,"Pseudalopex vetulus isolate RJ4 recombination activating protein 1 (RAG1) gene, exon 1 and partial cds",741
494514,Vulpes lagopus,XM_041773539.1,"PREDICTED: Vulpes lagopus recombination activating 1 (RAG1), mRNA",5068
9627,Vulpes vulpes,XM_072759150.1,"PREDICTED: Vulpes vulpes recombination activating 1 (RAG1), mRNA",9025
9629,Vulpes corsac,DQ240712.1,"Vulpes corsac isolate 488 recombination activating protein 1 (RAG1) gene, exon 1 and partial cds",741
2658581,Vulpes macrotis mutica,,,
354191,Lycalopex fulvipes,DQ240702.1,"Pseudalopex fulvipes isolate F1895 recombination activating protein 1 (RAG1) gene, exon 1 and partial cds",670
1398410,Vulpes vulpes montana,,,
2494276,Vulpes bengalensis,,,
2726995,Lycalopex sp. CAN003,,,
476260,Vulpes vulpes japonica,,,
561074,Vulpes ferrilata,,,
1224817,Vulpes pallida,,,
9631,Vulpes velox,,,
2639686,unclassified Lycalopex,,,
945042,Nyctereutes procyonoides albus,,,
1621116,Urocyon littoralis dickeyi,,,
192959,Nyctereutes procyonoides procyonoides,,,
1621118,Urocyon littoralis clementae,,,
1504800,Vulpes vulpes fulvus,,,
1353242,Vulpes vulpes schrenckii,,,
132609,Nyctereutes procyonoides koreensis,,,
1621113,Urocyon littoralis littoralis,,,
1621114,Urocyon littoralis santarosae,,,
425201,Lycalopex gymnocercus,DQ240704.1,"Pseudalopex gymnocercus isolate 902 recombination activating protein 1 (RAG1) gene, exon 1 and partial cds",741
30540,Vulpes sp.,,,
71547,Vulpes macrotis zinseri,,,
244585,Urocyon littoralis,DQ240709.1,"Urocyon littoralis isolate SNI22 recombination activating protein 1 (RAG1) gene, exon 1 and partial cds",741
2726996,Lycalopex sp. CAN005,,,
3370412,Nyctereutes viverrinus,,,
9626,Vulpes chama,DQ240711.1,"Vulpes chama isolate F3 recombination activating protein 1 (RAG1) gene, exon 1 and partial cds",741
354190,Vulpes cana,DQ240710.1,"Vulpes cana isolate 7 recombination activating protein 1 (RAG1) gene, exon 1 and partial cds",665
68736,Lycalopex culpaeus,DQ240701.1,"Pseudalopex culpaeus isolate 900 recombination activating protein 1 (RAG1) gene, exon 1 and partial cds",741
2793302,Otocyon megalotis megalotis,,,
1621115,Urocyon littoralis santacruzae,,,
9630,Vulpes macrotis,DQ240713.1,"Vulpes macrotis isolate Corizo recombination activating protein 1 (RAG1) gene, exon 1 and partial cds",741
1002254,environmental samples,,,
2627721,unclassified Vulpes,,,
