tax_id,scientific_name,accession,seq_name,seq_len
55040,Urocyon cinereoargenteus,DQ240674.1,"Urocyon cinereoargenteus isolate 4 growth hormone receptor (GHR) gene, exon 9 and partial cds",736
1002255,Vulpes environmental sample,,,
2879911,Vulpes macrotis arsipus,,,
383736,Vulpes lagopus beringensis,,,
68739,Lycalopex sechurae,DQ240671.1,"Pseudalopex sechurae isolate 1910 growth hormone receptor (GHR) gene, exon 9 and partial cds",736
68732,Vulpes zerda,DQ240682.1,"Vulpes zerda isolate 1 growth hormone receptor (GHR) gene, exon 9 and partial cds",736
1621117,Urocyon littoralis catalinae,,,
9624,Otocyon megalotis,DQ240666.1,"Otocyon megalotis isolate FF48 growth hormone receptor (GHR) gene, exon 9 and partial cds",736
1303779,Lycalopex sp. Fuegian dog,,,
2793303,Otocyon megalotis virgatus,,,
68737,Lycalopex griseus,DQ240669.1,"Pseudalopex griseus isolate 2474 growth hormone receptor (GHR) gene, exon 9 and partial cds",736
354189,Vulpes rueppellii,DQ240680.1,"Vulpes rueppellii isolate 2 growth hormone receptor (GHR) gene, exon 9 and partial cds",736
34880,Nyctereutes procyonoides,XM_055325045.1,"PREDICTED: Nyctereutes procyonoides growth hormone receptor (GHR), transcript variant X2, mRNA",4084
68734,Lycalopex vetulus,DQ240672.1,"Pseudalopex vetulus isolate RJ4 growth hormone receptor (GHR) gene, exon 9 and partial cds",736
494514,Vulpes lagopus,XM_041747928.1,"PREDICTED: Vulpes lagopus growth hormone receptor (GHR), transcript variant X10, mRNA",4028
9627,Vulpes vulpes,XM_072756986.1,"PREDICTED: Vulpes vulpes growth hormone receptor (GHR), transcript variant X5, mRNA",3986
9629,Vulpes corsac,DQ240678.1,"Vulpes corsac isolate 488 growth hormone receptor (GHR) gene, exon 9 and partial cds",736
2658581,Vulpes macrotis mutica,,,
354191,Lycalopex fulvipes,DQ240668.1,"Pseudalopex fulvipes isolate F1895 growth hormone receptor (GHR) gene, exon 9 and partial cds",736
1398410,Vulpes vulpes montana,,,
2494276,Vulpes bengalensis,,,
2726995,Lycalopex sp. CAN003,,,
476260,Vulpes vulpes japonica,,,
561074,Vulpes ferrilata,,,
1224817,Vulpes pallida,,,
9631,Vulpes velox,DQ205838.1,"Vulpes velox growth hormone receptor (GHR) gene, partial cds",823
2639686,unclassified Lycalopex,,,
945042,Nyctereutes procyonoides albus,,,
1621116,Urocyon littoralis dickeyi,,,
192959,Nyctereutes procyonoides procyonoides,,,
1621118,Urocyon littoralis clementae,,,
1504800,Vulpes vulpes fulvus,,,
1353242,Vulpes vulpes schrenckii,,,
132609,Nyctereutes procyonoides koreensis,,,
1621113,Urocyon littoralis littoralis,,,
1621114,Urocyon littoralis santarosae,,,
425201,Lycalopex gymnocercus,OR282478.1,"Lycalopex gymnocercus isolate Pampas_fox2 growth hormone receptor (GHR) gene, partial cds",749
30540,Vulpes sp.,,,
71547,Vulpes macrotis zinseri,,,
244585,Urocyon littoralis,DQ240675.1,"Urocyon littoralis isolate SNI22 growth hormone receptor (GHR) gene, exon 9 and partial cds",736
2726996,Lycalopex sp. CAN005,,,
3370412,Nyctereutes viverrinus,,,
9626,Vulpes chama,DQ240677.1,"Vulpes chama isolate F3 growth hormone receptor (GHR) gene, exon 9 and partial cds",736
354190,Vulpes cana,DQ240676.1,"Vulpes cana isolate 7 growth hormone receptor (GHR) gene, exon 9 and partial cds",736
68736,Lycalopex culpaeus,DQ240667.1,"Pseudalopex culpaeus isolate 900 growth hormone receptor (GHR) gene, exon 9 and partial cds",736
2793302,Otocyon megalotis megalotis,,,
1621115,Urocyon littoralis santacruzae,,,
9630,Vulpes macrotis,DQ240679.1,"Vulpes macrotis isolate Corizo growth hormone receptor (GHR) gene, exon 9 and partial cds",736
1002254,environmental samples,,,
2627721,unclassified Vulpes,,,
