tax_id,scientific_name,accession,seq_name,seq_len
55040,Urocyon cinereoargenteus,GU931098.1,"Urocyon cinereoargenteus FES gene, partial sequence",422
354190,Vulpes cana,DQ239460.1,"Vulpes cana isolate 7 feline sarcoma protooncogene protein (fes) gene, exons 14, 15 and partial cds",482
34880,Nyctereutes procyonoides,XM_055326798.1,"PREDICTED: Nyctereutes procyonoides FES proto-oncogene, tyrosine kinase (FES), mRNA",2820
32534,Canis simensis,DQ239455.1,"Canis simensis isolate T486 feline sarcoma protooncogene protein (fes) gene, exons 14, 15 and partial cds",448
354191,Lycalopex fulvipes,DQ239457.1,"Pseudalopex fulvipes isolate 1895 feline sarcoma protooncogene protein (fes) gene, exons 14, 15 and partial cds",438
244585,Urocyon littoralis,DQ239459.1,"Urocyon littoralis isolate snI22 feline sarcoma protooncogene protein (fes) gene, exons 14, 15 and partial cds",448
9626,Vulpes chama,DQ239461.1,"Vulpes chama isolate F3 feline sarcoma protooncogene protein (fes) gene, exons 14, 15 and partial cds",448
143281,Canis lupus baileyi,XM_072800424.1,"PREDICTED: Canis lupus baileyi FES proto-oncogene, tyrosine kinase (FES), mRNA",2810
494514,Vulpes lagopus,XM_041753609.1,"PREDICTED: Vulpes lagopus FES proto-oncogene, tyrosine kinase (FES), mRNA",2937
68736,Lycalopex culpaeus,OM169113.1,"Lycalopex culpaeus isolate 1 feline sarcoma protooncogene protein (FES) gene, partial cds",383
3069387,Canidae intergeneric hybrids,OR287507.1,"Canis lupus familiaris x Lycalopex gymnocercus isolate Canid feline sarcoma protooncogene (FES) gene, partial cds",397
9612,Canis lupus,XM_072800424.1,"PREDICTED: Canis lupus baileyi FES proto-oncogene, tyrosine kinase (FES), mRNA",2810
286419,Canis lupus dingo,XM_025437712.3,"PREDICTED: Canis lupus dingo FES proto-oncogene, tyrosine kinase (FES), mRNA",2832
3069388,Canis lupus familiaris x Lycalopex gymnocercus,OR287507.1,"Canis lupus familiaris x Lycalopex gymnocercus isolate Canid feline sarcoma protooncogene (FES) gene, partial cds",397
68737,Lycalopex griseus,OM169112.1,"Lycalopex griseus isolate 10 feline sarcoma protooncogene protein (FES) gene, partial cds",373
34879,Nyctereutes,XM_055326798.1,"PREDICTED: Nyctereutes procyonoides FES proto-oncogene, tyrosine kinase (FES), mRNA",2820
9627,Vulpes vulpes,XM_072737325.1,"PREDICTED: Vulpes vulpes FES proto-oncogene, tyrosine kinase (FES), mRNA",2891
425200,Lycalopex,OR287506.1,"Lycalopex gymnocercus isolate Pampas_fox2 feline sarcoma protooncogene (FES) gene, partial cds",397
354189,Vulpes rueppellii,DQ239462.1,"Vulpes rueppellii isolate 2 feline sarcoma protooncogene protein (fes) gene, exons 14, 15 and partial cds",439
425201,Lycalopex gymnocercus,OR287506.1,"Lycalopex gymnocercus isolate Pampas_fox2 feline sarcoma protooncogene (FES) gene, partial cds",397
68734,Lycalopex vetulus,DQ239458.1,"Pseudalopex vetulus isolate RJ4 feline sarcoma protooncogene protein (fes) gene, exons 14, 15 and partial cds",448
9625,Vulpes,XM_072737325.1,"PREDICTED: Vulpes vulpes FES proto-oncogene, tyrosine kinase (FES), mRNA",2891
9615,Canis lupus familiaris,OR287504.1,"Canis lupus familiaris isolate Domestic_dog2 feline sarcoma protooncogene (FES) gene, partial cds",407
9611,Canis,XM_072800424.1,"PREDICTED: Canis lupus baileyi FES proto-oncogene, tyrosine kinase (FES), mRNA",2810
55039,Urocyon,DQ239459.1,"Urocyon littoralis isolate snI22 feline sarcoma protooncogene protein (fes) gene, exons 14, 15 and partial cds",448
