tax_id,scientific_name,accession,seq_name,seq_len
55040,Urocyon cinereoargenteus,KT447963.1,"Urocyon cinereoargenteus interstitial retinol binding protein 3 (RBP3) gene, partial cds",770
1002255,Vulpes environmental sample,,,
2879911,Vulpes macrotis arsipus,,,
383736,Vulpes lagopus beringensis,,,
68739,Lycalopex sechurae,KT447961.1,"Lycalopex sechurae interstitial retinol binding protein 3 (RBP3) gene, partial cds",770
68732,Vulpes zerda,,,
1621117,Urocyon littoralis catalinae,,,
9624,Otocyon megalotis,,,
1303779,Lycalopex sp. Fuegian dog,,,
2793303,Otocyon megalotis virgatus,,,
68737,Lycalopex griseus,,,
354189,Vulpes rueppellii,,,
34880,Nyctereutes procyonoides,XM_055324854.1,"PREDICTED: Nyctereutes procyonoides retinol binding protein 3 (RBP3), mRNA",3783
68734,Lycalopex vetulus,,,
494514,Vulpes lagopus,XM_041748483.1,"PREDICTED: Vulpes lagopus retinol binding protein 3 (RBP3), mRNA",3783
9627,Vulpes vulpes,XM_026009362.2,"PREDICTED: Vulpes vulpes retinol binding protein 3 (RBP3), mRNA",3783
9629,Vulpes corsac,,,
2658581,Vulpes macrotis mutica,,,
354191,Lycalopex fulvipes,,,
1398410,Vulpes vulpes montana,,,
2494276,Vulpes bengalensis,,,
2726995,Lycalopex sp. CAN003,,,
476260,Vulpes vulpes japonica,,,
561074,Vulpes ferrilata,,,
1224817,Vulpes pallida,,,
9631,Vulpes velox,AF179293.1,"Vulpes velox interphotoreceptor retinoid binding protein gene, partial cds",1239
2639686,unclassified Lycalopex,,,
945042,Nyctereutes procyonoides albus,,,
1621116,Urocyon littoralis dickeyi,,,
192959,Nyctereutes procyonoides procyonoides,,,
1621118,Urocyon littoralis clementae,,,
1504800,Vulpes vulpes fulvus,,,
1353242,Vulpes vulpes schrenckii,,,
132609,Nyctereutes procyonoides koreensis,,,
1621113,Urocyon littoralis littoralis,,,
1621114,Urocyon littoralis santarosae,,,
425201,Lycalopex gymnocercus,,,
30540,Vulpes sp.,,,
71547,Vulpes macrotis zinseri,,,
244585,Urocyon littoralis,,,
2726996,Lycalopex sp. CAN005,,,
3370412,Nyctereutes viverrinus,,,
9626,Vulpes chama,,,
354190,Vulpes cana,,,
68736,Lycalopex culpaeus,,,
2793302,Otocyon megalotis megalotis,,,
1621115,Urocyon littoralis santacruzae,,,
9630,Vulpes macrotis,,,
1002254,environmental samples,,,
2627721,unclassified Vulpes,,,
