tax_id,scientific_name,accession,seq_name,seq_len
1353242,Vulpes vulpes schrenckii,,,
71547,Vulpes macrotis zinseri,,,
1621114,Urocyon littoralis santarosae,KP128993.1,"Urocyon littoralis santarosae isolate CHIS-30240 mitochondrion, complete genome",16469
30540,Vulpes sp.,,,
354190,Vulpes cana,PV090783.1,"Vulpes cana mitochondrion, complete genome",15458
9630,Vulpes macrotis,PV090784.1,"Vulpes macrotis mitochondrion, complete genome",15460
1621116,Urocyon littoralis dickeyi,KP129082.1,"Urocyon littoralis dickeyi isolate 4947314B0B mitochondrion, complete genome",16469
9629,Vulpes corsac,NC_023958.1,"Vulpes corsac mitochondrion, complete genome",16721
383736,Vulpes lagopus beringensis,,,
2658581,Vulpes macrotis mutica,,,
494514,Vulpes lagopus,OR880609.1,"Vulpes lagopus voucher 6081 mitochondrion, complete genome",16657
1002254,environmental samples,,,
476260,Vulpes vulpes japonica,D83640.1,"Vulpes vulpes japonica mitochondrial DNA, major non-coding region",304
2879911,Vulpes macrotis arsipus,,,
1504800,Vulpes vulpes fulvus,,,
354189,Vulpes rueppellii,OQ274912.1,"Vulpes rueppellii mitochondrion, complete genome",16517
2494276,Vulpes bengalensis,,,
244585,Urocyon littoralis,KP129082.1,"Urocyon littoralis dickeyi isolate 4947314B0B mitochondrion, complete genome",16469
9631,Vulpes velox,PV090785.1,"Vulpes velox mitochondrion, complete genome",15460
9626,Vulpes chama,ON756054.3,"Vulpes chama isolate ID#15 mitochondrion, complete genome",16772
1224817,Vulpes pallida,,,
55040,Urocyon cinereoargenteus,NC_026723.1,"Urocyon cinereoargenteus isolate 01PANT-20090525 mitochondrion, complete genome",16469
1002255,Vulpes environmental sample,,,
561074,Vulpes ferrilata,NC_027935.1,"Vulpes ferrilata mitochondrion, complete genome",16667
68732,Vulpes zerda,NC_023459.1,"Vulpes zerda mitochondrion, complete genome",16683
2627721,unclassified Vulpes,,,
9627,Vulpes vulpes,OZ067330.1,"Vulpes vulpes genome assembly, organelle: mitochondrion",16685
1621117,Urocyon littoralis catalinae,KP129064.1,"Urocyon littoralis catalinae isolate UNK23 mitochondrion, complete genome",16469
1621115,Urocyon littoralis santacruzae,KP129062.1,"Urocyon littoralis santacruzae isolate M444 mitochondrion, complete genome",16469
1621118,Urocyon littoralis clementae,KP129081.1,"Urocyon littoralis clementae isolate 985120029004811 mitochondrion, complete genome",16469
1621113,Urocyon littoralis littoralis,KP129017.1,"Urocyon littoralis littoralis isolate CHIS-30459 mitochondrion, complete genome",16469
1398410,Vulpes vulpes montana,KF387633.1,"Vulpes vulpes montana mitochondrion, complete genome",16688
